file,name,number,MST,time,rep,order,alanine.2tms,Glycine.2tms,X2.aminobutyric.acid.2tms,valine.2tms,leucine.2tms,isoleucine.2tms,Threonine.2tms,Proline.2tms,aspartic.acid.2tms,Glutamine..pyroglutamic.acid.2tms.,Methionine.2tms,serine.3tms,Threonine.3tms,Phenylalanine.2tms,aspartic.acid.3tms,glutamic.acid.3tms,lysine.3tms,arginine.3tms.,histidine.3tms,tyrosine.3tms
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__019,29-Synechocystis_6803-cell-3p-2,29,3p,8,2,19,1643621218,965505866.7,5347793.939,1054473073,1172563879,754335048.5,42166036.36,455761678.8,66264963.64,209052781.8,223609097,1284154958,494949200,858683878.8,2066090624,1763772879,974990527.3,619517193.9,459816436.4,969539818.2
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__055,30-Synechocystis_6803-cell-3p-3,30,3p,8,3,55,1547212977,855883789.5,3515736.842,949683578.9,1046086620,676394122.8,28636146.2,417112292.4,51078438.6,184020479.5,119498386,1137861269,600087251.5,763575233.9,1838528567,1663132427,855112982.5,454122309.9,400796005.8,819861713.5
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__011,31-Synechocystis_6803-cell-5p-1,31,5p,10,1,11,1367403264,750164383.4,10953212.44,892204730.6,947239943,655721041.5,28071010.36,380234777.2,54493849.74,310678538.9,251431285,819142513,316958569.9,706875927.5,1641298358,1344191627,785835202.1,384362020.7,372365896.4,787918196.9
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__051,32-Synechocystis_6803-cell-5p-2,32,5p,10,2,51,1378220328,807670429.3,3977388.889,966142500,950810893.9,681589338.4,22105141.41,384229126.3,38044429.29,165220853.5,224183479.8,1035651848,616451904,724741186.9,1705344783,1542834924,817157813.1,458603298,377409020.2,883562075.8
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__063,33-Synechocystis_6803-cell-5p-3,33,5p,10,3,63,1412010985,747765613.9,11477910.89,937886089.1,944361044.6,669371618.8,16457470.3,374332861.4,42174490.1,417892920.8,227725940.6,746332386.1,518623638.6,731234306.9,1567168767,1132563356,800904990.1,373322524.8,354659594.1,728836846.5
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__046,34-Synechocystis_6803-cell-6p-1,34,6p,11,1,46,1461776434,874747402.1,3838587.302,1028915587,1026846259,746446232.8,29268486.77,421751920.6,45491301.59,162530089.9,298551899.5,1091036376,632564021.2,806534179.9,1824383825,1592514825,862763148.1,486039756.6,415917201.1,954535719.6
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__068,35-Synechocystis_6803-cell-6p-2,35,6p,11,2,68,1421235083,718426936.3,21562401.96,871683892.2,919282392.2,621997975.5,15832818.63,360774696.1,42056769.61,433099818.6,175226642.2,566442857.8,434256848,670186529.4,1486873598,1098869397,735075205.9,338142014.7,326809093.1,623447009.8
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__083,36-Synechocystis_6803-cell-6p-3,36,6p,11,3,83,1227779038,715627636.4,2762961.722,850139717.7,834471813.4,614374535.9,13882220.1,334656052.6,42575569.38,122957655.5,235292578.9,869533612.4,588896081.3,659854358.9,1495177512,1320352033,698414483.3,377565933,340937636.4,797698014.4
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__072,37-Synechocystis_6803-cell-630p-1,37,630p,11.5,1,72,1171515862,637254085.4,12390479.67,822100991.9,769472780.5,605898638.2,8605414.634,338362455.3,35163731.71,415298995.9,214284337.4,584737296.7,450742674.8,637521695.1,1376068602,994645451.2,680870280.5,360205215.4,310663048.8,705716272.4
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__004,38-Synechocystis_6803-cell-630p-2,38,630p,11.5,2,4,1083692719,571223242.6,6648889.362,700523591.5,687496783,494364425.5,16287710.64,264423638.3,33766153.19,244130897.9,133565834,547644851.1,191226234,520437357.4,1180152345,944929774.5,567795004.3,299001319.1,271498761.7,522666268.1
